#KEY	C23.fq	C25.fq	C28.fq	K05.fq	K23.fq	K25.fq
Ctf1	44	28	29	5	42	84
Ctf2	0	1	1	0	5	5
Cth	124	19	30	18	173	9
Cthrc1	468	276	293	749	9	273
Ctif	371	417	281	231	80	250
Ctla2a	5085	1355	855	3285	484	1958
Ctla2b	158	121	138	70	28	178
Ctla4	0	4	2	0	1	32
Ctnna1	4905	5264	5187	8685	1191	4792
Ctnna2	0	0	0	0	0	1
Ctnna3	0	0	0	1	0	2
Ctnnal1	197	172	165	151	93	117
Ctnnb1	8004	11167	7298	12172	2844	13257
Ctnnbip1	340	248	198	229	163	225
Ctnnbl1	578	452	393	827	128	308
Ctnnd1	5621	5183	3770	6139	1040	4170
Ctnnd2	7	20	10	13	6	29
Ctns	140	118	153	116	160	197
Ctps	337	445	486	522	131	753
Ctps2	382	375	496	348	168	368
Ctr9	397	443	500	406	163	468
Ctrb1	1	0	1	0	1991516	21663
Ctrc	0	1	0	0	1069	2
Ctrcos	0	0	0	0	27	1
Ctrl	8	8	4	1	56292	98
Cts3	0	0	0	0	0	0
Cts6	0	0	0	0	0	0
Cts7	0	0	0	0	0	0
Cts8	0	0	0	0	0	0
Cts8-ps	0	0	0	0	0	0
Ctsa	2433	2390	1743	2186	1314	3895
Ctsb	9490	8207	9316	10750	2544	13509
Ctsc	2658	2772	2074	2491	486	4446
Ctsd	7370	6629	6670	6414	3570	10351
Ctse	4569	5284	2225	10168	1552	5476
Ctsf	504	211	127	96	260	359
Ctsg	0	0	0	16	1	0
Ctsh	1060	1414	438	1108	447	2879
Ctsj	11	0	0	0	0	0
Ctsk	1200	646	1068	531	372	1523
Ctsl	8266	4873	8192	11050	3480	6695
Ctsll3	0	0	0	0	0	0
Ctsm	0	0	0	0	0	0
Ctso	272	183	326	126	151	324
Ctsq	0	0	0	1	0	0
Ctsr	0	0	0	0	0	0
Ctss	3016	2227	1690	1275	851	6277
Ctsw	47	50	28	13	5	122
Ctsz	2172	1866	1429	1811	546	2913
Cttn	2924	2796	3454	4888	658	2736
Cttnbp2	26	19	9	19	24	47
Cttnbp2nl	1257	1275	1593	1194	145	1015
Ctu1	60	78	71	54	49	129
Ctu2	499	514	567	689	187	471
Ctxn1	643	487	349	403	102	384
Ctxn2	0	0	0	4	1	0
Ctxn3	0	0	1	16	0	0
Cubn	43	41	29	40	0	6
Cuedc1	384	290	474	232	229	412
Cuedc2	550	498	687	771	266	537
Cul1	1675	1090	1213	1622	429	1026
Cul2	407	398	397	487	118	306
Cul3	1274	1426	1497	2275	494	1002
Cul4a	1267	1143	1141	1430	335	829
Cul4b	647	747	773	981	169	478
Cul5	433	351	356	545	114	364
Cul7	1773	750	1566	724	220	715
Cul9	435	186	167	71	145	327
Cuta	272	257	283	211	181	279
Cutal	54	48	6	24	34	32
Cutc	67	55	50	85	39	73
Cux1	1017	1164	1105	1191	322	1059
Cux2	21	4	3	0	40	39
Cuzd1	0	1	0	3	12858	94
Cwc15	508	460	589	750	302	509
Cwc22	306	324	276	437	104	273
Cwc25	169	169	265	216	61	226
Cwc27	155	115	168	242	52	139
Cwf19l1	130	149	142	133	37	91
Cwf19l2	241	194	206	180	49	149
Cwh43	0	18	42	0	204	149
Cx3cl1	911	1473	785	617	136	539
Cx3cr1	479	315	98	16	50	1034
Cxadr	2332	2247	742	1260	340	1691
Cxcl1	55	254	91	89	12	87
Cxcl10	4	42	30	13	0	43
Cxcl11	2	3	0	3	0	3
Cxcl12	2331	308	341	552	439	426
Cxcl13	160	16	136	25	6	15
Cxcl14	939	1734	390	1331	403	4257
Cxcl15	0	6	0	0	0	1
Cxcl16	649	994	439	379	157	1974
Cxcl17	40	25	3	3	37	105
Cxcl2	8	52	44	77	0	20
Cxcl3	24	46	32	78	0	11
Cxcl5	10	231	149	114	12	313
Cxcl9	0	22	7	4	0	68
Cxcr1	0	2	0	0	0	1
Cxcr2	12	52	21	59	7	105
Cxcr3	1	4	0	0	4	58
Cxcr4	188	284	147	151	54	178
Cxcr5	32	20	6	8	22	27
Cxcr6	2	15	1	5	1	134
Cxxc1	776	888	743	1261	629	801
Cxxc4	107	7	63	8	41	31
Cxxc5	811	533	846	143	480	841
Cyb561	552	555	1028	673	632	872
Cyb561a3	1449	512	1006	1365	111	422
Cyb561d1	116	87	84	124	93	182
Cyb561d2	67	55	88	54	45	100
Cyb5a	1356	513	366	1044	483	521
Cyb5b	1427	1868	1890	2805	606	1339
Cyb5d1	337	247	466	350	145	337
Cyb5d2	55	55	61	51	21	62
Cyb5r1	570	594	375	360	97	289
Cyb5r2	0	3	0	1	0	2
Cyb5r3	2631	2722	2749	4277	940	2440
Cyb5r4	367	411	310	515	134	448
Cyb5rl	65	35	82	19	52	138
Cyba	1159	1019	874	1294	409	1771
Cybb	606	400	227	243	175	1254
Cybc1	410	319	495	311	141	438
Cybrd1	308	112	12	68	98	47
Cyc1	662	718	819	1203	478	730
Cycs	296	345	514	478	110	413
Cyct	0	0	1	0	0	0
Cyfip1	1509	1400	1726	1558	320	1819
Cyfip2	7	28	14	24	194	242
Cygb	1445	1330	345	504	726	2969
Cyhr1	847	764	700	905	542	874
Cylc1	0	0	0	0	0	0
Cylc2	0	0	0	0	0	0
Cyld	524	630	456	886	154	546
Cym	125	7	1	42	5	19
Cyp11a1	0	8	8	5	5	30
Cyp11b1	0	0	0	0	0	0
Cyp11b2	0	0	0	0	0	0
Cyp17a1	50	1	0	1	7	2
Cyp19a1	0	0	0	1	0	0
Cyp1a1	0	0	0	0	0	0
Cyp1a2	16	0	0	0	0	6
Cyp1b1	2241	1039	929	1372	366	2323
Cyp20a1	391	344	477	656	130	313
Cyp21a1	91	188	47	117	10	121
Cyp24a1	1	0	1	0	0	1
Cyp26a1	9	24	11	42	8	269
Cyp26b1	54	245	46	176	122	131
Cyp26c1	0	3	3	2	0	11
Cyp27a1	243	65	38	86	143	234
Cyp27b1	1	1	3	2	6	9
Cyp2a12	47	0	0	0	0	0
Cyp2a22	0	0	0	0	0	0
Cyp2a4	0	0	0	0	0	0
Cyp2a5	0	0	0	0	0	0
Cyp2ab1	5	0	3	4	8	0
Cyp2b10	2	4	0	2	6	0
Cyp2b13	0	0	0	0	0	0
Cyp2b19	0	0	0	0	0	0
Cyp2b23	0	0	0	0	0	0
Cyp2b9	0	0	0	0	0	0
Cyp2c23	28	1	0	0	2	6
Cyp2c29	21	0	0	0	0	2
Cyp2c37	72	0	0	0	0	0
Cyp2c38	17	0	0	0	0	0
Cyp2c39	5	0	0	0	0	0
Cyp2c40	0	0	0	0	0	0
Cyp2c50	121	0	0	0	0	3
Cyp2c53-ps	0	0	0	0	0	0
Cyp2c54	9	0	0	0	0	0
Cyp2c55	0	0	1	1	4	0
Cyp2c65	8	8	0	61	81	43
Cyp2c66	0	0	0	0	0	0
Cyp2c67	17	0	0	0	0	0
Cyp2c68	100	0	0	0	1	0
Cyp2c69	4	0	0	0	0	0
Cyp2c70	455	0	0	0	1	0
Cyp2d10	227	1	1	0	5	4
Cyp2d11	1	1	0	0	0	0
Cyp2d12	0	0	0	0	0	0
Cyp2d13	11	0	0	0	0	0
Cyp2d22	528	134	260	115	329	215
Cyp2d26	293	11	0	29	3	0
Cyp2d34	0	1	0	0	13	7
Cyp2d37-ps	41	3	0	0	3	0
Cyp2d40	9	0	0	0	0	0
Cyp2d9	183	0	0	0	1	1
Cyp2e1	1458	2	0	1	1	6
Cyp2f2	3	0	1	2	0	1
Cyp2g1	0	0	0	0	0	0
Cyp2j11	0	0	0	0	0	0
Cyp2j12	0	0	0	0	0	0
Cyp2j13	0	0	0	0	16	0
Cyp2j5	100	1	0	0	7	12
Cyp2j6	155	97	146	29	191	306
Cyp2j8	0	0	1	0	1	0
Cyp2j9	7	5	8	3	23	31
Cyp2r1	23	18	13	3	8	18
Cyp2s1	244	366	73	849	147	46
Cyp2t4	5	7	5	2	7	7
Cyp2u1	5	6	22	5	15	5
Cyp2w1	1	5	0	0	1	0
Cyp39a1	232	119	140	155	376	144
Cyp3a11	106	0	0	0	0	3
Cyp3a13	274	69	43	499	403	163
Cyp3a16	0	0	0	0	0	0
Cyp3a25	240	0	0	0	0	0
Cyp3a41a	0	0	0	0	0	0
Cyp3a41b	0	0	0	0	0	0
Cyp3a44	0	0	0	0	0	0
Cyp3a57	1	0	0	0	1	0
Cyp3a59	9	0	0	0	0	0
Cyp46a1	21	11	9	2	22	20
Cyp4a10	1	0	0	0	0	0
Cyp4a12a	0	0	0	0	0	0
Cyp4a12b	0	0	0	0	0	0
Cyp4a14	2	0	0	0	2	0
Cyp4a29	0	0	0	0	0	0
Cyp4a30b	0	0	0	0	0	0
Cyp4a31	4	0	0	0	0	0
Cyp4a32	0	1	0	0	5	0
Cyp4b1	57	135	55	11	103	68
Cyp4b1-ps2	0	0	0	0	0	0
Cyp4f13	170	181	186	154	227	183
Cyp4f14	20	27	0	0	1	1
Cyp4f15	42	0	0	0	142	6
Cyp4f16	220	202	281	163	95	310
Cyp4f17	81	66	44	43	87	113
Cyp4f18	179	114	86	91	69	355
Cyp4f37	0	1	0	0	0	0
Cyp4f39	0	0	0	0	0	0
Cyp4f40	0	5	0	0	10	0
Cyp4f41-ps	1	3	2	0	0	6
Cyp4v3	168	82	152	65	90	253
Cyp4x1	0	0	0	0	0	0
Cyp4x1os	0	0	0	0	0	0
Cyp51	322	868	668	1732	108	776
Cyp7a1	51	0	0	0	0	0
Cyp7b1	63	42	44	50	49	154
Cyp8b1	16	6	2	0	3	0
Cypt1	0	0	0	0	0	0
Cypt12	0	0	0	0	0	0
Cypt14	0	0	0	0	0	0
Cypt15	0	0	0	0	0	0
Cypt2	0	0	0	0	0	0
Cypt3	0	0	0	0	0	0
Cypt4	0	0	0	0	0	0
Cyren	340	251	248	118	115	324
Cyria	98	116	95	61	54	254
Cyrib	455	565	617	1095	204	886
Cys1	82	152	6	111	47	89
Cysltr1	41	108	41	37	26	161
Cysltr2	5	2	2	0	1	19
Cysrt1	0	2	1	13	1	4
Cystm1	1157	836	535	3509	604	733
Cyth1	402	347	416	453	211	724
Cyth2	665	660	812	1387	328	772
Cyth3	667	676	1159	1500	257	821
Cyth4	428	557	324	109	211	1857
Cytip	93	66	71	163	54	351
